180075	1112	77
180076	1112	77
180077	1112	52
180078	1112	73
180079	1112	70
180080	1112	43
180081	1112	47
180082	1112	56
180083	1113	62
180084	1113	58
180085	1113	70
180086	1112	53
180087	1112	80
180088	1112	51
180089	1112	62
180090	1112	76
180091	1112	56
180092	1112	49
180093	1112	73
180094	1112	59
180095	1112	57
180096	1113	73
180097	1113	33
180098	1113	70
180099	1113	63
180100	1113	79
180101	1113	61
180102	1113	77
180103	1113	62
180104	1113	71
180105	1113	59
180106	1113	82
180107	1113	69
180108	1113	63
180109	1113	83
180110	1113	71
180111	1113	81
180112	1113	86
180113	1113	83
180114	1113	56
180115	1113	72
180116	1113	37
180117	1114	65
180118	1114	72
180119	1114	89
180120	1114	67
180121	1114	74
180122	1114	55
180123	1114	96
180124	1114	88
180125	1114	81
180126	1114	73
180127	1114	62
180128	1114	76
180129	1112	60
180130	1112	85
180131	1112	98
180132	1112	68
180133	1114	67
180134	1114	98
180135	1114	91
180136	1114	62
180137	1114	78
