180075	1112
180076	1112
180077	1112
180078	1112
180079	1112
180080	1112
180081	1112
180082	1112
180083	1113
180084	1113
180085	1113
180086	1112
180087	1112
180088	1112
180089	1112
180090	1112
180091	1112
180092	1112
180093	1112
180094	1112
180095	1112
180096	1113
180097	1113
180098	1113
180099	1113
180100	1113
180101	1113
180102	1113
180103	1113
180104	1113
180105	1113
180106	1113
180107	1113
180108	1113
180109	1113
180110	1113
180111	1113
180112	1113
180113	1113
180114	1113
180115	1113
180116	1113
180117	1114
180118	1114
180119	1114
180120	1114
180121	1114
180122	1114
180123	1114
180124	1114
180125	1114
180126	1114
180127	1114
180128	1114
180129	1112
180130	1112
180131	1112
180132	1112
180133	1114
180134	1114
180135	1114
180136	1114
180137	1114
